"x","y","frame","sd"
3469.67680659114,3301.7462182283,6298,14.3712878015466
3467.78533807961,3298.57177393957,6299,11.0929293936927
3458.93170297069,3283.59745563907,6300,33.6616471051663
3455.09022550589,3329.89899678675,6301,21.8448004719803
3454.2506295406,3286.97029946801,6302,27.4842896294146
3495.28192484907,3242.80398507206,6363,27.5655493080688
3469.90598673917,3297.57972818843,6419,12.6773267419612
3435.9747169096,3258.79944361418,6420,32.4522113974372
1103.75270043148,1761.50672812356,6253,20.3767655628102
1117.42099216327,1773.44761456093,6418,8.12210770050131
1115.87850711482,1791.53432919644,6419,20.0363299981683
1119.31346883656,1758.41049043739,6420,15.5054713656663
1115.37979025278,1781.40507933133,6421,18.260753413318
1097.56321552374,1803.03427847468,6422,19.887581205829
1121.80196143251,1762.12716418723,6423,9.74903660512472
1590.20257397672,1674.95430266286,2479,14.7697394669832
1606.50464631866,1676.26717876869,2480,23.681802674015
1571.82882881503,1692.86936158207,2537,16.8991659767523
1626.22683435934,1686.46995754056,2538,27.5354172680385
1594.2028592755,1675.88105703961,2676,5.05676297563263
1582.14071609085,1679.74341537238,2677,11.5454290097326
1568.92736982692,1660.66516796453,2678,12.2838777714433
1586.04605769077,1708.2796487084,2679,23.5072565676557
1578.53947528994,1671.6122850677,2683,28.5017890698939
1576.24279566027,1682.86922890338,2684,12.952158398002
1653.54168899647,1656.33175632928,2686,30.8314776309478
1577.84559106218,1683.55317389037,2687,16.0743043703295
2924.34158854389,3518.31208663727,10085,12.4901904690528
2939.60329186552,3511.32476639531,10086,23.3814336784131
3003.61590016212,3455.74233551877,10087,35.9081167510867
2938.13847375403,3517.99438569125,10090,14.7183012193739
2932.81805263705,3484.59465167787,10091,11.7992226077033
2944.54215587625,3507.47500351284,10118,11.061492284819
2952.0075769053,3487.71636120877,10158,24.9066680917076
2930.57188997747,3519.64390530881,10159,8.81638670348035
2948.81393002286,3511.16853194965,10160,5.06541239625458
2940.44244707473,3519.29665008198,10161,14.8953275532565
2934.961777802,3511.27789605786,10163,11.9667116850458
2943.84972752743,3507.80242138183,10164,8.81638670348035
2939.82342447428,3502.39432978038,10165,15.4235038012775
2943.43564936669,3502.8954354925,10166,5.71154201451165
2920.22915121814,3502.50613587149,10191,13.3418655012495
2947.12171607666,3500.52918333312,10192,10.9887290822648
2948.4573554239,3497.04463753053,10193,21.5233985337752
2956.69478974074,3520.73505197487,10194,8.70434363651049
2946.13150639938,3526.30068483434,10195,11.171544605483
2934.66496522232,3508.71798771276,10196,12.1838431416563
2941.32211195825,3510.84939349823,10197,11.3448944426874
2909.583329404,3494.14847840111,10198,23.2017980342267
2948.63215139439,3479.7370199974,10204,40.2322802836755
2959.74936026492,3513.47621275119,10205,22.7576663468731
2950.75138084576,2210.50150551608,5097,14.5665025946986
2927.9322358279,2236.76987518975,5098,19.2325630908064
2958.8541340653,2212.76438418279,5099,24.9672305587969
2941.19985602802,2222.27046680319,5100,9.58430712856024
2932.9821413876,2202.16557877575,5101,11.2083023336733
2949.61722109904,2243.59518972514,5102,12.2248134839989
2937.39213194861,2198.8613700932,5103,16.5310047438243
2952.05483634809,2204.79369279198,5116,10.0223172306844
2948.74383100429,2211.71042897903,5117,7.55376889567715
70.5934312862796,2111.61405117912,2010,16.2314998769161
1989.50618235769,3197.21239318415,1573,12.6978723959128
2020.35574799309,3242.96530588515,1574,13.8704209849361
1993.56445735108,3218.70988089847,1614,12.7349292838292
2017.12086349735,3147.31543139687,1615,34.2599122552167
2686.83093038632,416.34869503939,1652,11.6076485520841
2668.54220571848,403.029958613064,1653,25.121755975628
2715.57194499743,419.139519380494,1654,21.6986618768448
2688.34882963129,411.907483638954,1743,20.2196207580614
2708.77288017498,406.799440719968,1744,12.4166547610378
2683.63972646888,408.611686227412,1745,19.5203866652975
2684.73617674571,434.758041628084,1746,16.382572369196
2665.79435330521,409.409527925666,1777,21.2104732863257
2672.66582257643,445.329803004137,1778,14.7183012193739
2648.793637943,391.048349480188,1779,27.5116495720283
2723.30329209536,395.143097481371,1780,18.9540507072642
2700.06092579475,436.255927674318,1781,27.5655493080688
1667.1511245646,2457.92881049949,6968,7.20475614764395
1678.10577367048,2459.95323394684,6969,20.9183934895458
1660.70490838738,2438.24544042801,6973,18.5594335997673
1664.91781999453,2442.29357507837,6974,7.3982976767946
1657.0805956394,2438.55307725269,6980,22.9667500431936
